Territory,Same-sex sexual activity,Recognition of same-sex unions,Same-sex marriage,Adoption by same-sex couples,LGBT people allowed to serve openly in military?,Anti-discrimination laws concerning sexual orientation,Laws concerning gender identity/expression
Serbia,Yes,No,No,No,Yes,Yes,Yes
Spain,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Turkey,Yes,No,No,No,No,No,Yes
Vatican City,Yes,No,No,No,Unknown,No,No
Belgium,Yes,Yes,Yes,Yes,Yes,Yes,Yes
France,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Guernsey,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Ireland,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Isle of Man,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jersey,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Luxembourg,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Monaco,Yes,Yes,No,No,Yes,Yes,Unknown
Netherlands,Yes,Yes,Yes,Yes,Yes,Yes,Yes
United Kingdom,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Australia Islands and Norfolk Island,Yes,Yes,Yes,Yes,Yes,Yes,Yes
New Zealand,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fiji,Yes,No,No,No,Unknown,Yes,Unknown
Indonesia,Yes,No,No,No,No,Yes,Yes
New Caledonia,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Papua New Guinea,No,No,No,No,No,No,No
Solomon Islands,No,No,No,No,Unknown,No,No
Vanuatu,Yes,No,No,No,Unknown,Yes,No
